product_code,name,vendor_code,color,purchase_price,cup_type,price,photo,sizes,stock
Д70,"Піжама Gucci кольору бордо, S, M. Код: Д70","#1101, 5358",бордо,1100,,1720,,S,1
Д71,Стильна персикова накидка для дому. Код: Д71,#648,персиковий,213,,390,,free,1
Д81,"Бузковий комплект: футболка та шорти, XL, 2XL, 3XL. Код: Д81",#309 (312),"зелений, синій",292.5,,660,,"2XL зелений, 3XL синій",2
Д81,"Темно-синій комплект: футболка та шорти, S, M, L. Код: Д81",#308 (311),бузковий,273.2,,600,,M бузковий,1
Д86,"Комплект для дому з 4-х одиниць, S, M, L. Код: Д86",#608,бордо,419,,1450,,бордо.S,1
Д90,"Синя чоловіча махрова піжама, р.56. Код: Д90",#1399,синій,613.8,,1200,,56,1
Д92,"Жіночий комплект: халат з піжамою, р.42. Код: Д92",#1604,сіро-рожевий,172.05,,420,,42,1
Д93,"Чорний чоловічий махровий костюм із капюшоном, р.52. Код: Д93",#1881,чорний,660.3,,1200,,52,1
Д96,"Жіноча коричнева махрова піжама, р.42, 54 (маломерит). Код: Д96",#2103,коричневий,423,,880,,"42, 54",2
Д97,"Жіночий чорний махровий костюм на блискавці, р.46. Код: Д97",#2118,чорний,678.9,,1300,,46,1
Д98,"Жіноча махрова піжамка ""Леон"" р. 42, 54. Код: Д98",#2087,чорно-леопардовий,530,,1100,,54,1
Д99,"Махрова піжама з коміром коричнева, р.44, 52. Код: Д99",#2165,коричневий,550,,1100,,"44, 52",2
Д99,"Махрова піжама з коміром сірого кольору, р.48, 60. Код: Д99",#2165,сірий,642,,1150,,"48, 60",2
Д99,"Махрова піжама з коміром кольору фуксія, р.44. Код: Д99",#2165,фуксія,465,,970,,44-46,1
Д100,"Жіноча махрова піжама з манжетами ""Сніговий барс"", р. 42, 46, 50. Код: Д100",#2087,біло-сірий,558,,1100,,42,1
Д113,"Жіночий короткий махровий халат ""Шиншилла"", р.42. Код: Д113",#482,біло-сірий,483.6,,980,,42,1
Д117,"Стильна махрова піжама для дому, р.S. Код: Д117",#810,жовтий,390,,780,,S,1
Д120,"Чорна піжамка з віскози, р.м. Код: Д120",#904,чорний,250,,520,,M,1
Д125,"Трикотажна піжама з кофти та штанів, р.S. Код: Д125",#590,синя в червоне сердце,370,,740,,S,1
Д127,"Велюровий комплект пудра, р.М, L, XL. Код: Д127",#291,пудра,330,,630,,XL,1
K119,Пушап велосипеда в рубчик. Код: К119,#0412,пудра,150,,320,,"пудра, пудра, пудра",3
K120,Чорний пушап лосини в широкий рубчик. Код: К120,#0925,чорний,230,,420,,1,1
K122,Чорний лосин пушап рубчик. Код: К122,#7112,чорний,195,,420,,"M-L, M-L, M-L, XL-2XL",4
Д23,Дитячий комплект термобілизни Columbia. Код: Д23,,чорний,310,,800,,"128, 134, 146, 152, 158, 164",6
Д23,Комплект термобілизни Columbia. Код: Д23,,чорний,330,,900,,"S, M",2
Д23,Комплект термобілизни Columbia. Код: Д23,,чорний,330,,900,,"L, XL, 2XL",3
Д23,Чоловічий комплект термобілизни Columbia. Код: Д23,,чорний,330,,900,,"S, M",2
Д23,Чоловічий комплект термобілизни Columbia. Код: Д23,,чорний,350,,900,,"L, XL, 2XL",3
Д23,Комплект зимової термобілизни Columbia батал. Код: Д23,,чорний,380,,900,,"3XL, 4XL, 5XL, 6XL",4
Д50,"Жіноча термобілизна Smartov, розмір S. Код: Д50",,чорний,300,,850,,S,1
Д77,Чоловічий комплект термобілізні з додаванням зовні. Код: Д77,#Ч784_темно-сірий,темно-сірий,324.9,,750,,"L(46), XL(48), 2XL(50), 3XL(52)",4
Д78,Чоловічий комплект термобілізні на мікрофлісі. Код: Д78,#Ч794_світло-сірий,світло-сірий,312,,750,,2XL(50),1
Д79,Жіночий комплект термобілизни з додаванням зовні. Код: Д79,#Ж794_рожевий,"бузковий, рожевий",291.7,,750,,"L(46) бузковий, M(44) рожевий",2
Д80,Жіночий комплект термобілізни на мікрофлісі. Код: Д80,#Ж784_фіолетовий,бузковий,276,,750,,"2XL(50) але штани L, бузковий",1
Д129,"Термобелье тактична Black, розмір XL. Код: Д129",#JA-09-3 Black,чорно-сірий,474.05,,1100,,XL,1
Д129,"Термобілизна тактична олива, розмір L. Код: Д129",#JA-09-3 Green,оливковий,474.05,,1100,,L,1
Д130,"Термобілизна чоловіча зимова, 2XL, 3XL. Код: Д130",#JA-09 Green,оливковий,379.05,,900,,"2XL, 3XL",2
Д131,"Термобілизна чоловіча камуфляж, L, XL. Код: Д131",,камуфляж,370,,900,,"L, XL",2
Н4,"Шкарпетки чоловічі Житомир сітка Класик, розмір 29-31",---,бежевий,6,,15,,1,3
Н8,Шкарпетки підліток BFL 32-35 розмір BFL B253,#08939,чорний,8,,15,,"1, 1",4
Н10,Шкарпетки жіночі ІРА бамбук в смужку 36-41р.,---,в полоску,7,,15,,1,3
Н11,Шкарпетки жіночі Pesail 37-42 р.,---,белые,7.82,,20,,"1, 1, 1, 1, 1, 1, 1, 1, 1",11
Н12,Шкарпетки підліткові,---,різні кольори,6,,15,,"1, 1, 1, 1",6
Н15,"Шкарпетки вовняні з махрою ""Ангора"" 34-38р.",#Adpec D 103 Z,різні кольори,8,,17,,"1, 1, 1, 1, 1, 1, 1, 1",10
Н16,"Шкарпетки дитячі з ангори з махрою, р.16-20см",#Honest 001 Z,різні кольори,9,,17,,"1, 1, 1, 1, 1",7
Н17,"Шкарпетки дитячі махрові, р.17-22 см",#Jujube Y 108A S,різні кольори,11,,20,,1,3
Н18,"Шкарпетки лайкра Elizabeth 30DEN, Чорний (2 пари в упаковці, ціна за пару)",#NL30D,чорний,4,,8,,1,3
Н20,"Капронові шкарпетки з візерунком, нар. 38-42 (2 пари в упаковці, ціна за пару)",#NK801,чёрн / беж,3.4,,7,,"ч, ч",4
Н21,"Капронові шкарпетки Soli 20DEN без лайкри, ущільнений шкарпетка та м'яка гумка",#N30,бежевий,2.6,,6.5,,"1, 1",4
Н22,Гольфи Elizabeth 30DEN лайкра,#GL30D,бежевий,5.1,,12,,"1, 1, 1",5
Н26,"Дитячі зимові махрові шкарпетки, модні, для дівчаток",#834 А,різні кольори,10.5,,23,,"1, 1, 1, 1, 1, 1, 1, 1, 1",11
Н27,"Дитячі махрові шкарпетки ""Котики"" з 3 до 6 років, р.32-37",#Д 55,різні кольори,10,,23,,1,3
Н28,"Махрові жіночі шкарпетки на зиму ""Бантики"", ""Олені""",#80977,різні кольори,11,,25,,"1, 1, 1, 1, 1, 1",8
Н29,"Шкарпетки короткі стрейчові, спортивні шкарпетки, р.27-29",#Т 021,різні кольори,7,,17,,1,3
Н30,"Шикарні жіночі гольфи, розмір 35/40",---,різні кольори,5.81,,17,,"1, 1, 1, 1",6
Н31,Якісні гольфи на дівчинку 5-7 років,---,різні кольори,5.81,,17,,"1, 1, 1, 1",6
Н32,Яскраві жіночі шкарпетки в смужку (бамбук) розмір 37-42,---,різні кольори,7.13,,17,,1,3
Н34,"Махрові шкарпетки жіночі шкарпетки ""Bony""",#листочки,різні кольори,10.8,,25,,"1, 1, 1, 1",6
Н36,"Шкарпетки чоловічі ""Шкарпетки з чорними"" класика бавовна",#015н,чорний,6,,17,,1,3
Н37,"Жіночі трикотажні шкарпетки ""Мода Women"", р.36-42",#полоска,різні кольори,5.8,,17,,1,3
