product_code	name	vendor_code	color	purchase_price	cup_type	price	photo	sizes	stock
Н29	Шкарпетки короткі стрейчові, спортивні шкарпетки, р.27-29	#Т 021	різні кольори	7		17	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/Н29.jpg	1	3
Н30	Шикарні жіночі гольфи, розмір 35/40	---	різні кольори	5.81		17	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/Н30_1.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/Н30_2.jpg	1, 1, 1, 1	6
Н31	Якісні гольфи на дівчинку 5-7 років	---	різні кольори	5.81		17	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/Н31.jpg	1, 1, 1, 1	6
Н32	Яскраві жіночі шкарпетки в смужку (бамбук) розмір 37-42	---	різні кольори	7.13		17	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/Н32.jpg	1	3
Н34	Махрові шкарпетки жіночі шкарпетки "Bony"	#листочки	різні кольори	10.8		25	Нет фото	1, 1, 1, 1	6
Н36	Шкарпетки чоловічі "Шкарпетки з чорними" класика бавовна	#015н	чорний	6		17	Нет фото	1	3
Н37	Жіночі трикотажні шкарпетки "Мода Women", р.36-42	#полоска	різні кольори	5.8		17	Нет фото	1	3
Н38	Махрові жіночі шкарпетки "Олені-ялинки", р.36-40		різні кольори	11		25	Нет фото	1, 1, 1, 1, 1, 1	8
Н39	Короткі жіночі шкарпетки, р.36-42, різнокольорові	#016ж	різні кольори	5.5		17	Нет фото	1	3
Н40	Махрові дитячі шкарпетки "Мішутка", р.16-22, 22-28, 28-34, різнокольорові	---	різні кольори	10.8		23	Нет фото	1, 1, 1, 1, 1, 1, 1, 1	10
Н41	Жіночі шкарпетки "Наталі", р.37-42, різнокольоровий	---	різні кольори	5.8		18	Нет фото	1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1	27
Н42	Білі чоловічі шкарпетки "Укорочені" р.27, р.29	---	білий	7.5		20	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/Н42.jpg	27, 27, 27, 29, 29	7
Н43	Бежеві чоловічі шкарпетки гладкі "Класик" р.29	---	бежевий	7.5		20	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/Н43.jpg	29, 29, 29, 29	6
Н44	Темно-сірі чоловічі шкарпетки "Класик" р.27	---	темно-серый	7.5		20	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/Н44.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/Н44_2.jpg	27, 27, 27	5
Н45	Світло-сірі чоловічі шкарпетки "Класик" р.29	---	серый	7.5		20	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/Н45.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/Н45_2.jpg	29, 29, 29	5
Н46	Чорні чоловічі шкарпетки гладкі "Класик" р.25, 27, 29, 31	---	чорний	7.5		20	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/Н46.jpg	25, 25, 27, 29, 31, 31, 31, 31	10
Н47	Чорні чоловічі махрові шкарпетки "Класик" р.25, 27, 29, 31	---	чорний	11.7		25	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/Н47.jpg	25, 25, 25, 25, 27, 29, 29, 29, 31, 31	12
Н48	Чорні чоловічі махрові шкарпетки "Елегант" р.27, 31	---	чорний	11.7		25	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/Н48_1.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/Н48_2.jpg	27, 27, 27, 27, 31, 31, 31	9
Н49	Чорні чоловічі шкарпетки сітка "Класик" р.25, 27, 29	---	чорний	6.5		20	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/Н49.jpg	25, 25, 25, 25, 27, 27, 27	9
Н50	Сірі чоловічі шкарпетки сітка "Класик" р.27	---	серый	6.5		20	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/Н50_1.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/Н50_2.jpg	27, 27	4
Н51	Чорні чоловічі шкарпетки "Спорт" р.25, 29, 31	---	чорний	7.5		20	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/Н51_1.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/Н51_2.jpg	25, 25, 25	5
Н52	Шкарпетки "Трекінгові" р.25, 29	---	один цвет	35		58	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/Н52_1.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/Н52_2.jpg	25, 25, 25, 29	6
Н53	Чорні жіночі шкарпетки укорочені "Класик", р.23-25	---	чорний	7.5		20	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/Н53.jpg	23-25, 23-25, 23-25	5
Н54	Шкарпетки жіночі серії "Панда", р.23-25	---	різні кольори	7.5		20	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/Н54_1.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/Н54_2.jpg	23-25	3
К6	Колготки дитячі Конте-Кідз: Class, Bravo, Tip-Top. . Код: К6	---	разноцвет	53.1		85	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/К6_conte_kids.png	80-86 гол., 104-110 бел., 116-122 роз.леггинсы	5
К7	Дитячі колготки Gatta Happy School	---	чорний в звездочку			85	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/К7_gatta_happySсhool.png	116-122	3
К8	Колготки Elizabeth 100DEN MICROFIBRE, Чорний, р.2, 3, 4, 5	#EL100MF	чорний	28.2		50	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/K8.png	ч, ч	5
К11	Колготки 20 den бікіні 004EL	#05883	чорний	16.3		29	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/K11.png	4	3
К17	Колготки Elizabeth 40 den BIKINI CHARM, Чорний, р.2, 3, 4	#EL40BC	чорний	16.6		35	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/K17.png	4	3
К18	Колготки жіночі теплі 1600 den 2022KOL (прибл. 2-3 розмір)	#09680	чорний	20		100	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/tights_socks/К18.jpg	1, 1	4
